00060,0.0232,0.001
00614,0.0133,0.001
00750,0.0665,0.005
01808,0.1394,0.01
02389,0.0181,0.001
02622,0.0216,0.001
03717,0.1108,0.01
04119,0.0138,0.001
04221,0.0224,0.001
04330,0.0245,0.001
04726,0.1209,0.01
06073,0.0035,0.0001
